(1, 7, 2),
(1, 14, 0),
(2, 2, .5),
(2, 3, 2),
(2, 4, .5),
(2, 6, .5),
(2, 9, 2),
(2, 12, .5),
(2, 13, 2),
(2, 17, .5),
(2, 18, .5),
(3, 2, .5),
(3, 3, .5),
(3, 4, 2),
(3, 5, 2),
(3, 6, .5),
(3, 17, .5),
(4, 2, 2),
(4, 3, .5),
(4, 4, .5),
(4, 5, .5),
(4, 6, 2),
(4, 8, 2),
(4, 9, .5),
(4, 10, 2),
(4, 12, 2),
(5, 5, .5),
(5, 9, 2),
(5, 10, .5),
(5, 17, .5),
(6, 2, 2),
(6, 6, .5),
(6, 7, 2),
(6, 13, 2),
(6, 17, 2),
(7, 10, 2),
(7, 11, 2),
(7, 12, .5),
(7, 13, .5),
(7, 16, .5),
(7, 18, 2),
(8, 4, .5),
(8, 7, .5),
(8, 8, .5),
(8, 9, 2),
(8, 11, 2),
(8, 12, .5),
(8, 18, .5),
(9, 3, 2),
(9, 4, 2),
(9, 5, 0),
(9, 6, 2),
(9, 8, .5),
(9, 13, .5),
(10, 4, .5),
(10, 5, 2),
(10, 6, 2),
(10, 7, .5),
(10, 9, 0),
(10, 12, .5),
(10, 13, 2),
(11, 7, .5),
(11, 11, .5),
(11, 12, 2),
(11, 14, 2),
(11, 16, 2),
(12, 2, 2),
(12, 4, .5),
(12, 7, .5),
(12, 9, .5),
(12, 10, 2),
(12, 13, 2),
(13, 1, .5),
(13, 2, .5),
(13, 3, 2),
(13, 4, 2),
(13, 7, 2),
(13, 8, .2),
(13, 9, 2),
(13, 10, .5),
(13, 17, 2),
(14, 1, 0),
(14, 7, 0),
(14, 8, .5),
(14, 12, .5),
(14, 14, 2),
(14, 16, 2),
(15, 2, .5),
(15, 3, .5),
(15, 4, .5),
(15, 5, .5),
(15, 6, 2),
(15, 15, 2),
(15, 18, 2),
(16, 7, 2),
(16, 11, 0),
(16, 12, 2),
(16, 14, .5),
(16, 16, .5),
(16, 18, 2),
(17, 1, .5),
(17, 2, 2),
(17, 4, .5),
(17, 6, .5),
(17, 7, 2),
(17, 8, 0),
(17, 9, 2),
(17, 10, .5),
(17, 11, .5),
(17, 12, .5),
(17, 13, .5),
(17, 15, .5),
(17, 17, .5),
(17, 18, .5),
(18, 7, .5),
(18, 8, 2),
(18, 12, .5),
(18, 15, 0),
(18, 16, .5),
(18, 17, 2);
